ROBERTS, SHEILA - WINTER AT THE BEACH
ROBERTSON, IMOGEN - CIRCLE OF SHADOWS
ROBSON, JENNIFER - OUR DARKEST NIGHT
ROBSON, JENNIFER - SOMEWHERE IN FRANCE
ROBUCK, ERIKA - HEMINGWAY'S GIRL
ROBUCK, ERIKA - SISTERS OF NIGHT AND FOG
ROBUCK, ERIKA - THE HOUSE OF HAWTHORNE
ROCHA, LUIS MIGUEL - THE LAST POPE
ROCHA, LUIS MIQUEL - THE POPE'S ASSASSIN
RODALE, MAYA -A GROOM OF HER OWN
ROGER, MARIE-SABINE - SOFT IN THE HEAD
ROGERS, GEMMA -STALKER
ROGERS, ROSEMARY - SURRENDER TO LOVE
ROLLINS, JAMES - THE LAST ODYSSEY
ROLLINS, JAMES & GRANT BLACKWOOD - WAR HAWK
ROLLINS, JAMES & REBECCA CANTRELL - INNOCENT BLOOD
RONIN, ISABELLE - ALWAYS RED
ROSE, M.J. - THE HYPNOTIST
ROSENBERG, NANCY TAYLOR - THE CHEATER
ROSENFELDT, HANS - CRY WOLF
ROSS, JOANN - HERON'S LANDING
ROSS, JOANN - ONE SUMMER
ROSS, JOANN - SECOND CHANCE SPRING
ROSS, JOANN - SUMMER ON MIRROR LAKE
ROSS, JOANN - THE INHERITANCE
ROSSNER, JUDITH - HIS LITTLE WOMEN
ROSSO, NICO - COUNTDOWN TO ZERO HOUR
ROSSO, NICO - ONE MINUTE TO MIDNIGHT
ROTERT, REBECCA - LAST NIGHT AT THE BLUE ANGEL
ROUDA, KAIRA - THE FAVORITE DAUGHTER
ROWELL, RAINBOW - FANGIRL
ROWLING, J.K. - THE CASUAL VACANCY
RUBENHOLD, HALLIE - MISTRESS OF MY FATE
RUBY-SACHS, EMMA - THE WATER MAN'S DAUGHTER
RUCKA, GREG - THE LAST RUN
RUGGLE, KATE - IN SAFE HANDS
RUGGLE, KATIE - GONE TOO DEEP
RUGGLE, KATIE - HOLD YOUR BREATH
RUSHDAN, JUNO - UNTIL THE END
RUSHDAN, JUNO - EVERY LAST BREATH
RUSHDAN, JUNO - NOTHING TO FEAR
RUTHERFORD, EDWARD - THE FOREST
RUTHERFORD, EDWARD - NEW YORK
RUTHERFORD, EDWARD-THE PRINCESS OF IRELAND(THE DUBLIN SAGA)
RYAN, HANK PHILLIPPA - WHAT YOU SEE
RYAN, HANK PHILLIPPI - AIR TIME
RYAN, HANK PHILLIPPI - DRIVE TIME
RYAN, HANK PHILLIPPI - HER PERFECT LIFE
RYAN, HANK PHILLIPPI - THE FIRST TO LIE
RYAN, HANK PHILLIPPI - TRUST ME
RYAN, JENNIFER - THE SPIES OF SHELLING LANE
RYAN, KENDALL - FILTHY AND BEAUTIFUL LIES
RYAN, ROBERT - AFTER MIDNIGHT
RYAN, ROBERT - EMPIRE OF SAND
RYAN, ROBERT - THE DEAD CAN WAIT
SALEM, J.J. - THE STRIP
SALVATORE, R.A. - THE ANCIENT
SALVATORE, R.A. - THE HIGHWAYMAN
SANDERS, ANNIE - THE XMAS FACTOR
SANDERS, LAWRENCE - McNALLY'S SECRET
SANDERSON, BRANDON - FEARTRIS
SANDERSON, BRANDON - WARBREAKER
SANDERSON, BRANDON-ARCANUM UNBOUNDED THE COSMERE COLLECTION
SANDERSON, JANE - THIS MUCH IS TRUE
SANDFORD, JOHN - BAD BLOOD
SANDFORD, JOHN - BLOODY GENIUS
SANDFORD, JOHN - BURIED PREY
SANDFORD, JOHN - GATHERING PREY
SANDFORD, JOHN - HEAT LIGHTING
SANDFORD, JOHN - HOLY GHOST (lARGE PRINT)
SANDFORD, JOHN - SILKEN PREY
SANDFORD, JOHN - WICKED PREY
SANDS, LYNSAY - SURRENDER TO THE HIGHLANDER
SARAMAGO, JOSE - THE ELEPHANT'S JOURNEY
SAUL, JANICE J. - FIRST WARM EVENING OF THE YEAR
SAVAGE, CARO - VILLIAN
SCARROW, SIMON - PRAETORIAN
SCHROEDER, LISA - I HEART HYOU, YOU HAUNT ME
SCHULMAN, HELEN - COME WITH ME
SCHWALBE, WILL - THE END OF YOUR LIFE BOOK CLUB
SCORE, LUCY - PRETEND YOU ARE MINE
SCOTT, NIKOLA - MY MOTHER'S SHADOW
SCOTTOLINE, LISA - HAVE A NICE GUILT TRIP
SCOTTOLINE, LISA - AFTER ANNA
SCOTTOLINE, LISA - DEVIL'S CORNER
SCOTTOLINE, LISA - ONE PERFECT LIE
SEGAL, FRANCESCA - THE INNOCENTS
SEIDEL, KATHLEEN GILLES - KEEP YOUR MOUTH SHUT AND WEAR BEIGE
SEMPLE, MARIA - WHERE'S YOU GO BERNADETTE
SESKIS, TINA - THE HONEYMOON
SEYMOUR, GERALD - A DENIABLE DEATH
SHAFAK, ELIF - THE FORTY RULES OF LOVE
SHALVIS, JILL - THE LEMON SISTERS
SHALVIS,JILL - HEAD OVER HEELS
SHARP, CATHY - A DAUGHTER'S SORROW
SHATTUCK, JESSICA - THE WOMEN IN THE CASTLE
SHAYNE, MAGGIE - KILLING ME SOFTLY
SHAYNE, MAGGIE - KILL ME AGAIN
SHEENE, LYNN - THE LAST TIME I SAW PARIS
SHEHADI, MUNA - HIDDEN TRUTHS
SHEHADI, MUNA - HONEST SECRETS
SHEHADI, MUNI - FIRST WIFE
SHEHADI, MUNI - HONEST SECRETS
SHEHADI, MUNI - PRIVATE LIES
SHELDON, SIDNEY - NOTHING LASTS FOREVER
SHELDON, SIDNEY - RAGE OF ANGELS
SHELDON, SIDNEY & TILLY BAGSHAWE - CHASING TOMORROW
SHELDON, SIDNEY-BLOODLINE, A STRANGER IN THE MIRROR, THE NAKD FACE
SHELTON, SANDI KAHN - KISSING GAMES OF THE WORLD
SHEPARD, SARA - REPUTATION
SHEPHERD, SARA - THE HEIRESSES
SHIELDS, CAROL - THE STONE DIARIES
SHOWALTER, GENA - CAN'T LET GO
SHOWALTER, GENA - THROUGH THE ZOMBIE GLASS
SHRIVER, LIONEL - WE NEED TO TALK ABOUT KEVIN
SIGURDARDORTIR, YRSA - SOMETONE TO WATCH OVER ME
SILVA, DANIEL - THE BLACK WIDOW
SILVA, DANIEL - THE OTHR WOMAN
SILVA, DANIEL - THE ENGLISH SPY
SILVA, DANIEL - THE ORDER
SIMMONS, PAULLINA - A SONG IN DAYLIGHT
SIMONSON, HELEN - THE SUMMER BEFORE THE WAR
SIMSES, MARY - THE WEDDING THIEF
SITOMER, ALAN LAWRENCE - NERD GIRLS A CASTROPHE OF NERDISH PROPORTIONS
SIXSMITH, MARTIN - PHILOMENA
SKYE, CHRISTINA - BUTTERFLY COVE
SKYE, CHRISTINA - THE ACCIDENTAL BRIDE
SKYE, CHRISTINA - TO CATCH A THIEF
SLATER, K.L. - THE LIAR
SLATER, K.L. - THE MARRIAGE
SLATER, K.L. - THE SILENT ONES
SLATER, SEAN - THE SURVIVOR
SLAUGHTER, KARIN - PRETTY GIRLS
SLAUGHTER, KARIN - THE SILENT WIFE
SLAUGHTER, KARIN - UNSEEN
SLIMANI, LEILA - THE PERFECT NANNY
SMALE, HOLLY - GEEK GIRL
SMITH, ALEXANDER McCALL - MORALITY FOR BEAUTIFUL GIRLS
SMITH, ALEXANDER McCALL - THE FULL CUPBOARD OF LIFE
SMITH, ALEXANDER McCALL - THE MAN WITH THE SILVER SAAB
SMITH, ALEXANDER McCALL - THE MINOR ADJUSTMENT BEAUTY SALON
SMITH, ANNA - THE DEAD DON'T SLEEP
SMITH, ANNE EASTER - DAUGHTER OF YORK
SMITH, DEBRA WHITE - HEATHER THE DEBUTANTE
SMITH, JOAN - DESTINY'S DREAM
SMITH, KAREN ROSE - MURDER WITH CHERRY TARTS
SMITH, L.J. - THE VAMPIRE DIARIES-THE AWAKENING AND THE STRUGGLE
SMITH, MARK ALLEN - THE INQUISITOR
SMITH, WILBUR - DESERT GOD
SMITH, WILBUR - A TIME TO DIE
SMITH, WILBUR - BLUE HORIZON
SMITH, WILBUR - COURTNEY'S WAR
SMITH, WILBUR - DESERT GOLD
SMITH, WILBUR - PHARAOH
SMITH, WILBUR - PREDATOR
SMITH, WILBUR - RAGE
SMITH, WILBUR - THE TIGER'S PREY
SMTH, WILBUR - VICIOUS CIRCLE
SNOW, JENNIFER - ALASKA FOR CHRISTMAS
SO, ANTHONY VEASNA - AFTERPARTIES
SOHMER, STEVE - PATRIOTS
SOLI, TATIANA - THE LAST GOOD PARADISE
SOLOMONS, NATASHA - HOUSE OF GOLD
SORENSON, JILL - AFTER SHOCK
SORENSON, JILL - BACKWOODS
SOUTHIN, GWENDOLYN - DEATH AS A LAST RESORT
SPARKS, NICHOLAS - NIGHTS IN RODANTHE
SPARKS, NICHOLAS - SAFE HAVEN
SPARKS, NICHOLAS - SEE ME
SPARKS, NICHOLAS - THE LAST SONG
SPARKS, NICHOLAS - TWO BY TWO
SPINDLER, ERICA - JUSTICE FOR SARA
SPINDLER, ERICA - THE FIRST WIFE
SPINDLER, ERICA - WATCH ME DIE
SPINDLER, ERICA -BEAK NECK
SPINELLI, JERRY - SMILES TO GO
ST. CLAIRE, ROXANNE - EDGE OF SIGHT
ST. CLAIRE, ROXANNE - FACE OF DANGER
ST. CLAIRE, ROXANNE - SHIVER OF FEAR
STACEY, SHANNON - CONTROLLED BURN BOSTON FIRE
STACEY, SHANNON - FLARE UP BOSTON FIRE
STACEY, SHANNON - FULLY IGNITED BOSTON FIRE
STACEY, SHANNON - HEAT EXCHANGE BOSTON FIRE
STACEY, SHANNON - HOT RESPONSE BOSTON FIRE
STACEY, SHANNON - UNDER CONTROL BOSTON FIRE
STANLEY, KELLI - CITY OF DRAGONS
STANLEY, MICHAEL - A DEATH IN THE FAMILY
STAPLEY, MARISSA - MATING FOR LIFE
STAUB, WENDY CORSI - BONE WHITE
STAUB, WENDY CORSI - DYING BREATH
STEADMAN, CATHERINE - THE DISAPPEARING ACT
STEEL, D ANIELLE - DADDY'S GIRLS
STEEL, DANIELLE - A GOOD WOMAN
STEEL, DANIELLE - AGAINST ALL ODDS
STEEL, DANIELLE - ALL THAT GLITTERS
STEEL, DANIELLE - BEAUCHAMP HALL
STEEL, DANIELLE - BIG GIRLS
STEEL, DANIELLE - BLUE
STEEL, DANIELLE - CHILD'S PLAY
STEEL, DANIELLE - COMPLICATIONS
STEEL, DANIELLE - DADDY
STEEL, DANIELLE - FAIRYTALE
STEEL, DANIELLE - FALL FROM GRACE
STEEL, DANIELLE - FAMILY TIES
STEEL, DANIELLE - FLYING ANGELS
STEEL, DANIELLE - GOING HOME
STEEL, DANIELLE - HEARTBEAT
STEEL, DANIELLE - IRRESISTIBLE FORCES
STEEL, DANIELLE - JEWELS
STEEL, DANIELLE - LOST AND FOUND
STEEL, DANIELLE - MALICE
STEEL, DANIELLE - MORAL COMPASS
STEEL, DANIELLE - NINE LIVES
STEEL, DANIELLE - NO GREATER LOVE
STEEL, DANIELLE - PAST PERFECT
STEEL, DANIELLE - PRODIGAL SON
STEEL, DANIELLE - RUSHING WATERS
STEEL, DANIELLE - SECOND CHANCE
STEEL, DANIELLE - SECRETS
STEEL, DANIELLE - SILENT NIGHT
STEEL, DANIELLE - SILENT NIGHT (large print book)
STEEL, DANIELLE - SUSPECTS
STEEL, DANIELLE - THE CAST
STEEL, DANIELLE - THE COTTAGE
STEEL, DANIELLE - THE GOOD FIGHT
STEEL, DANIELLE - THE MISTRESS
STEEL, DANIELLE - THE NUMBERS GAME
STEEL, DANIELLE - TURNING POINT
STEEL, DANIELLE - WANDERLUST
STEEL, DANIELLE, - THE AWARD
STEIN, GARTH - A SUDDEN LIGHT
STEPP, LIN - DOWN BY THE RIVER
STEVENS, CHEVY - NEVER LET YOU GO
STIEFVATER, MAGGIE - LINGER
STIMSON, T. J. - PICTURE OF INNOCENCE
STIMSON, TESS - THE WIFE WHO RAN AWAY
STIMSON, TESS - SOFT FOCUS
STOCKETT, KATHRYN - THE HELP
STONE, DAVID - THE ORPHEUS DECEPTION
STONE, LISA - THE DARKNESS WITHIN
STOREY, ERIK - NOTHING SHORT OF DYING
STOTT, REBECCA - THE CORAL THIEF
STROUT, ANTON - DEAD TO ME
STUART, AMY - STILL HERE
STYLES, DAISY - THE BOMB GIRLS' SECRETS
STYLES, DASY - THE BOMB GIRLS
SULLIVAN, ANNA - SECRET HARBOR
SULLIVAN, CONNOR - SLEEPING BEAR
SULLIVAN, MAGGIE - CHRISTMAS ON CORONATION STREET
SUNDIN, SARAH - A DISTANT MELODY
SUNDIN, SARAH - BLUE SKIES TOMORROW
SWAN, KAREN - CHRISTMAS UNDER THE STARS
SWAN, KAREN - THE SUMMER WITHOUT YOU
SWAN, KAREN - TOGETHER BY CHRISTMAS
SWEENEY, LEANN - THE CAT, THE COLLECTOR AND THE KILLER
SWIFT, LISA - WHEN YOU WERE MINE
TAPPER, JAKE - THE HELLFIRE CLUB
TARTT, DONNA - THE GOLDFISH
TAYLOR, BRAD - AMERICAN TRAITOR
TAYLOR, C.L. - HER LAST HOLIDAY
TAYLOR, C.L. - STRANGERS
TAYLOR, D.J. - THE WINDSOR FACTION
TAYLOR, LULU - BEAUTIFUL CREATURES
TAYLOR, LULU - THE WINTER FOLLY
TAYLOR, LULU - THE WINTER SECRET
TENTLER, LESLIE - THE EDGE OF MIDNIGHT
TERRY, CANDIS - PERFECT FOR YOU
TERRY, CANDIS - TANGLED UP IN TINSEL
TESSARO, KATHLEEN - THE FLIRT
THACKERAY, WILLIAM MAKEPEACE - VANITY FAIR
THIEN, MADELEINE - DO NOT SAY WE HAVE NOTHING
THOEN, BODIE - DANZIG PASSAGE
THOMAS, AUGUST - LIAR'S CANDLE
THOMAS, CRAIG - THE LAST RAVEN
THOMAS, JOAN - FIVE WIVES
THOMAS, JULIE - RACHEL'S LEGACY
THOMAS, MAISIE - HOPE FOR THE RAILWAY GIRLS
THOMAS, MAISIE - THE RAILWAY GIRLS
THOMAS, SAM - THE WIDWIFE'S TALE
THOMAS, SHERRY - PRIVATE ARRANGEMENTS
THOMPSON, ELIZABETH - LOST IN PARIS
THOMPSON, KATE - SECRETS OF THE HOMEFRONTN GIRLS
THOMSON, LESLEY - GHOST GIRL
THOMSON, LESLEY - THE DETECTIVE'S DAUGHTER
THORTON, MARGARET BRADHAM - CHARLESTON
THUY, KIM - RU
TIFFANY CLARE - THE SURRENDER OF A LADY
TODD, CHARLES - A FATAL LIE
TORJUSSEN, MARY - THE GIRL I USED TO BE
TREMAYNE, S.K. - THE ASSISTANT
TRIGIANI, ADRIANA - TONY'S WIFE
TROLLOPE, JOANNA - DAUGHTERS-IN-LAW
TURNBULL, BRYN - THE LAST GRAND DUCHESS
TYLER, STEPHEN - UNBREAKABLE
VAN DYKEN, RACHEL - THE WAGER
VAUGHAN, SARAH - LITTLE DISASTERS
VERANT, SAMANTHA - SEVEN LETTERS FROM PARIS
VERDI, R.R. - DANGEROUS WAYS (BOOK 1)
VINCENZI, PENNY - A PERFECT HERITAGE
VORNHOLT, JOHN - STAR TREK - A TIME TO DIE
VORNHOLT, JOHN - STAR TREK A TIME TO BE BORN
WACHOWSKI, J. - IN PLAIN VIEW
WAGSTAFF, SASHA - WICKED GAMES
WALKER, FIONA - THE WOMAN WHO FELL IN LOVE FOR A WEEK
WALKER, MARTIN - THE COLDEST CASE
WALKER, WENDY - ALL IS NOT FORGOTTEN
WALLER, LESLIE - BLOOD DREAMS
WALSH, JACKIE - HER WHITE LIE
WALSH, ROSIE - GHOSTED
WALTERS, MINETTE - FOX EVIL
WARD, AMANDA EYRE - THE SAME SKY
WARE, CIJI - A RACE TO SPLENDOR
WARE, RUTH - IN A DARK, DARK WOOD
WARE, RUTH - ONE BY ONE
WARE, RUTH - THE DEATH OF MRS. WESTAWAY
WARE, RUTH - THE WOMAN IN CABIN 10
WATSON, RENEE - THIS SIDE OF HOME
WATSON, S.J - FINAL CUT
WATTERSON, KATE - FRACTURED
WATTS. JENNIFER - TRUE NORTH
WAUGH, DAISY - LAST DANCE WITH VALENTINO
WEATHERLEY, ANNA-LOU - BLACK HEART
WEATHERLEY, ANNA-LOU - PLEASURE ISLAND
WEATHERLEY, ANNA-LOU - THE STRANGER'S WIFE
WEATHERLEY, ANNA-LOU - WICKED WIVES
WEAVER, ASHLEY - MURDER AT BRIGHTWELL
WEBB, BETTY - DESERT RUN
WEBB, DEBRA - GONE TOO FAR
WEBB, DEBRA - OBSESSION
WEBB, DEBRA - RAGE
WEBB, DEBRA - REVENGE
WEBB, DEBRA - THE LIES WE TELL
WEBB, WENDY - THE VANISHING
WEIN, ELIZABETH - ROSE UNDER FIRE
WEIR, ALISON - CAPTIVE QUEEN
WEIS, MARGARET & TRACY HICKMAN - DRAGONS FALLEN SUN
WELDON, FAY - HABITS OF THE HOUSE
WELLS, ROBISON - VARIANT
WEYN, SUZANNE - DISTANT WAVES
WHIITAKER, GAIL - REVENGE IN REGENCY SOCIETY
WHITE, KAREN - FLIGHT PATTERNS
WHITE, KAREN - THE SOUND OF GLASS
WHITE, ROSEANNA M. - ON WINGS OF DEVOTION
WHITE, ROSEANNA M. - THE NUMBER OF LOVE
WHITEHEAD, COLSON - THE UNDERGROUND RAILROAD
WHITESIDE, DIANE, MAGGIE ROBINSON & MIA MARLOWE - IMPROPER GENTLEMEN
WIBBERLEY, EMILY & AUSTIN SIEGMJUND-BROKA - ALWAYS NEVER YOURS
WIGGS, SUSAN - FIRESIDE
WIGGS, SUSAN - JUST BREATHE
WIGGS, SUSAN - THE LOST AND FOUND BOOKSHOP
WILD, MEREDITH - HARDPRESSED (BOOK TWO)
WILD, MEREDITH - HARDWIRED (BOOK ONE)
WILD, MEREDITH, HARDLINE (BOOK THREE)
WILDE, LORI - MAD ABOUT YOU
WILHIDE, ELIZABETH - IF I COULD TELL YOU
WILKES, ELENA - KEEP MY SCRET
WILLBERG, T.A. - MARION LANE AND THE MIDNIGHT MURDER
WILLETT, MARCIA - CHIRSTMAN IN CORNWALL
WILLETT, MARCIA - MEMORIES OF THE STORM
WILLIAMS, ANDRIA - THE LONGEST NIGHT
WILLIAMS, BEARIZ, LAUREN WILLIG & KAREN WHITE - ALL TH WAYS WE SAID GOODBYE(lp)
WILLIAMS, BEATRIZ - A HUNDRED SUMMERS
WILLIAMS, BEATRIZ - ALONG THE INFINITE SEA
WILLIAMS, BEATRIZ - COCOA BEACH
WILLIAMS, BEATRIZ - HER LAST FLIGHT (large print)
WILLIAMS, BEATRIZ - OVERSEAS
WILLIAMS, KATE - THE EDGE OF THE FALL
WILLIAMS, KATE - THE PLEASURES OF MEN
WILLIAMS, SYNITHIA - FOOLISH HEART
WILLIAMS, T.A. - DREAMING OF CHRISTMAS
WILLIAMS, T.A. - DREAMING OF VERONA
WILLIAMS, T.A. - SECRETS ON THE ITALIAN ISLAND
WILLIAMSON, BETH - UNBRIDLED
WILLIG, LAURA - THE MARK OF THE MIDNIGHT MANZANILLA
WILLIG, LAUREN - THAT SUMMER
WILSHER, SUE - THE COPPERETTES AT WAR
WILTON, TRACI - MRS. MARRIS AND THE VAMPIRE
WINE, MARY - HIGHLAND HELLCAT
WINFREE, LINDA - FALL INTO ME
WINGATE, LISA - BEFORE WE WERE YOURS
WINGATE, MARTY - GLAMOUR GIRLS
WINSLOW, DON - THE FORCE
WINSPEAR, JACQUELINE - BIRDS OF A FEATHER
WINSPEAR, JACQUELINE - ELEGY FOR EDDIE
WINSPEAR, JACQUELINE - IN THIS GRAVE HOUR
WINTERS, ANGELA - ALMOST DOESN'T COUNT
WINTERS, PEPPER - SIN AND SUFFER
WONG, SANDRA S G - IN THE DARK WE FORGET
WOOD, TRACEY ENERSON - THE ENGINEER'S WIFE
WOODMAN, CATHY - FOLLOW ME HOME
WOODS, SHERRYL - ASK ANYONE
WOODS, SHERRYL - LOVE
WOODS, SHERRYL - STEALING HOME
WOODS, STUART - DOUBLE JEOPARDY
WOODS, STUART - CHIEFS
WOODS, STUART - STEALTH
WOODS, STUART - UNNATURAL ACTS
WRIGHT, DEBORAH - THE CELEBRITY MOTHER
WRIGHT, K. - LOVE IN MID AIR
WYATT, TARA - PRIMAL INSTINCT
WYLDE, JOANNA - REAPER'S FALL
WYLDE, JOANNA - REAPER'S LEGACY
YORK, REBECCA -BEYOND FEARLESS
ZANETTI, REBECCA - BROKEN
ZANETTI, REBECCA - FALLEN
ZETTEL, SARAH - A MOTHER'S LIE
ZETTEL, SARAH - THE OTHER SISTER
ZUSAK, MARKUS - THE BOOK THIEF
MOORCROFT, SUE - A SUMMER TO REMEMBER



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































